What,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,UTC Date
Wiki trends,Virginia Woolf,USA Gymnastics sex abuse scandal,Special:CreateAccount,XFL,XHamster,Republic Day (India),Padmaavat,Larry Nassar,Rani Padmini,Gianni Versace,Mark E. Smith,Alauddin Khalji,Siskiwit Lake (Isle Royale),Andrew Cunanan,Doomsday Clock,File:ITVBe logo 2014-.svg,Special:RecentChangesLinked,Deaths in 2018,Caroline Wozniacki,Special:ElectronPdf,Simona Halep,Darth Vader,Immaculate Conception,Elton John,Waco siege,The Fall (band),Padmavat,Special:Watchlist,XXX (franchise),The Shape of Water (film),Kyle Edmund,Special:Book,David Koresh,90th Academy Awards,The Assassination of Gianni Versace: American Crime Story,List of macOS components,Leonard Woolf,Marin Čilić,Lewis Pugh,Elizabeth II,Special:CiteThisPage,Donatella Versace,Patrick Brown (politician),Tonya Harding,Royal Rumble (2018),Chipper Jones,Burns supper,Aly Raisman,Queen Victoria,Millennials,2018-01-25
Wiki trends,Siskiwit Lake (Isle Royale),Wilder Penfield,Carl Emil Pettersson,Republic Day (India),XFL,XHamster,Padmaavat,File:ITVBe logo 2014-.svg,Alauddin Khalji,Special:CreateAccount,Rani Padmini,James Scott (criminal),Larry Nassar,Polymath Project,C. Christine Fair,Virginia Woolf,Roger Federer,Culture II,Fibrodysplasia ossificans progressiva,USA Gymnastics sex abuse scandal,Doomsday Clock,Gianni Versace,Australia Day,David Parker Ray,Darth Vader,Deaths in 2018,Special:ElectronPdf,List of unusual deaths,Andrew Cunanan,HRT 2,List of United States stand-up comedians,Rebecca Ferguson,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Padmavat,Special:Watchlist,Robert Hansen,Ellen DeGeneres,Special:Book,Monster Hunter: World,XXX (franchise),Rosemary Kennedy,Royal Rumble (2018),The Shape of Water (film),Elmer McCurdy,Special:WhatLinksHere,Millennials,Fritzl case,2018-01-26
Wiki trends,Caroline Wozniacki,Polymath Project,XHamster,Simona Halep,Alauddin Khalji,Padmaavat,Special:CreateAccount,Rani Padmini,Phoebe Buffay,Bruno Mars,James Scott (criminal),Larry Nassar,Steve Wynn,Christopher Reeve,File:ITVBe logo 2014-.svg,David Lee (basketball),Douglas Kenney,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Darth Vader,Deaths in 2018,Royal Rumble (2018),Special:ElectronPdf,Gianni Versace,File:Dans paris poster.jpg,XFL,Maze Runner: The Death Cure,Elizabeth II,Roger Federer,Special:RecentChangesLinked,The Shape of Water (film),XXX (franchise),Special:Watchlist,Andrew Cunanan,Wilder Penfield,Rebecca Ferguson,2018 Indian Premier League,Queen Victoria,Tonya Harding,Special:Book,Finnish Civil War,Ellen DeGeneres,The End of the F***ing World,"Princess Margaret, Countess of Snowdon",Winston Churchill,Millennials,The Greatest Showman,2018-01-27
Wiki trends,Roger Federer,XHamster,Marin Čilić,Royal Rumble (2018),Polymath Project,Alauddin Khalji,Special:CreateAccount,Padmaavat,Rani Padmini,List of Grand Slam men's singles champions,Rafael Nadal,Ingvar Kamprad,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Douglas Kenney,File:ITVBe logo 2014-.svg,UFC on Fox: Jacaré vs. Brunson 2,Caroline Wozniacki,Nicole Eggert,Darth Vader,NXT TakeOver: Philadelphia,Deaths in 2018,Tupac Shakur,Novak Djokovic,Special:ElectronPdf,2018 Pro Bowl,Elizabeth II,60th Annual Grammy Awards,Gianni Versace,Martha Hughes Cannon,Grand Slam (tennis),The Shape of Water (film),Queen Victoria,The End of the F***ing World,Steve Wynn,Larry Nassar,Maze Runner: The Death Cure,"Princess Margaret, Countess of Snowdon",Open Era tennis records – men's singles,Mirka Federer,Winston Churchill,Pro Bowl,Bigg Boss Kannada 5,Cardi B,Special:Watchlist,List of Grand Slam related tennis records,Tonya Harding,2018-01-28
Wiki trends,Royal Rumble (2018),Bruno Mars,AIM-9 Sidewinder,60th Annual Grammy Awards,Kesha,Donald Glover,XHamster,Alessia Cara,Cardi B,Patti LuPone,Roger Federer,Padmaavat,Alauddin Khalji,Ronda Rousey,Logic (musician),Kendrick Lamar,Queen Victoria,Special:CreateAccount,Rani Padmini,Polymath Project,Ben Platt (actor),Sting (musician),Camila Cabello,Elton John,Pink (singer),SZA (singer),Deaths in 2018,Rey Mysterio,Douglas Kenney,Dr. Luke,Kesha v. Dr. Luke,File:ITVBe logo 2014-.svg,Darth Vader,Ingvar Kamprad,Teresa Teng,Grammy Award,Shinsuke Nakamura,Joy Villa,Royal Rumble,Murder of Junko Furuta,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Jessica Caban,Rihanna,1-800-273-8255 (song),Special:ElectronPdf,Special:Watchlist,2018-01-29
Wiki trends,Mark Salling,XHamster,Blake Griffin,Padmaavat,Joseph Williams (musician),Alauddin Khalji,Royal Rumble (2018),Black Panther (film),Special:CreateAccount,Mahatma Gandhi,Bruno Mars,Deaths in 2018,Cardi B,Rani Padmini,Automated vacuum collection,Darth Vader,Elimination Chamber (2018),File:ITVBe logo 2014-.svg,Cory Monteith,Rose McGowan,Fred Rogers,Special:ElectronPdf,Douglas Kenney,Ronda Rousey,Special:Watchlist,Tom Brady,Elon Musk,Joe Kennedy III,Queen Victoria,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Janusz Korczak,Donald Glover,Roger Federer,XXX (franchise),Aymeric Laporte,Nicole Eggert,Exo (band),Elizabeth II,Winchester Mystery House,Ant-Man and the Wasp,Under-19 Cricket World Cup,David Koresh,Waco siege,60th Annual Grammy Awards,Special:Book,State of the Union,2018-01-30
Wiki trends,Joe Kennedy III,Mark Salling,Joseph P. Kennedy II,Lunar eclipse,XHamster,Rasual Butler,MS-13,January 2018 lunar eclipse,Special:CreateAccount,Pierre-Emerick Aubameyang,Joseph Williams (musician),Kennedy family,Robert F. Kennedy,Padmaavat,State of the Union,Leah LaBelle,Alauddin Khalji,Special:MyTalk,Olivier Giroud,Deaths in 2018,File:ITVBe logo 2014-.svg,Exo (band),Black Panther (film),Arrest and death of Otto Warmbier,Special:ElectronPdf,Stormy Daniels,Alex Smith,Darth Vader,Donald Trump,Rani Padmini,Blue moon,Special:Watchlist,Rose McGowan,Nancy Pelosi,Special:Book,Cory Monteith,Joseph P. Kennedy III,HRT 2,Cardi B,Special:WhatLinksHere,Douglas Kenney,List of United States stand-up comedians,Special:CiteThisPage,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Melania Trump,Nicole Eggert,John F. Kennedy,2018-01-31
Wiki trends,File:ITVBe logo 2014-.svg,Kamala Surayya,XHamster,Rasual Butler,Carter G. Woodson,Leah LaBelle,Special:Watchlist,Special:CreateAccount,Robert Wagner,Natalie Wood,Richard Karn,Andrew Cunanan,Joe Kennedy III,Padmaavat,Mark Salling,Deaths in 2018,Lee Miglin,Gianni Versace,Alauddin Khalji,Black Panther (film),Darth Vader,Groundhog Day,Special:ElectronPdf,Hope Hicks,Conversation analysis,Rose McGowan,Megan Barry,Devin Nunes,Ellen DeGeneres,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Rani Padmini,Exo (band),Portia de Rossi,XXX (franchise),Tom Brady,Special:Book,Douglas Kenney,Pierre-Emerick Aubameyang,Cardi B,Super Bowl LII,Lunar eclipse,Stormy Daniels,Donatella Versace,Winchester Mystery House,Elizabeth II,Special:CiteThisPage,2018-02-01
Wiki trends,File:ITVBe logo 2014-.svg,Groundhog Day,XHamster,Stephen Hawking,Larry Nassar,Robert Wagner,Natalie Wood,Bill Belichick,Padmaavat,Portia de Rossi,Deaths in 2018,Alauddin Khalji,Ellen DeGeneres,Special:CreateAccount,Darth Vader,Black Panther (film),Rose McGowan,Punxsutawney Phil,Andrew Cunanan,Altered Carbon (TV series),Devin Nunes,Bill Parcells,Tom Brady,Christoph von Marschall,List of Super Bowl champions,XXX (franchise),Special:Watchlist,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Lee Miglin,Winchester Mystery House,Fidel Castro,Justin Timberlake,Special:ElectronPdf,Cardi B,Rani Padmini,Gianni Versace,Mark Salling,John Battaglia,Super Bowl LII,Dian Fossey,January 2018 lunar eclipse,Rasual Butler,Man of the Woods,Douglas Kenney,Elizabeth II,Slender Man,2018-02-02
Wiki trends,XHamster,File:ITVBe logo 2014-.svg,Larry Nassar,Under-19 Cricket World Cup,Altered Carbon (TV series),Special:CreateAccount,Elizabeth Blackwell,Alauddin Khalji,Padmaavat,Platonic love,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Altered Carbon,Darth Vader,Norman Rockwell,Deaths in 2018,Black Panther (film),Tom Brady,Groundhog Day,Rose McGowan,Uma Thurman,Rani Padmini,Dennis Edwards,Natalie Wood,2018 Under-19 Cricket World Cup,List of Super Bowl champions,Special:ElectronPdf,Andrew Cunanan,India national under-19 cricket team,Moana Pozzi,Portia de Rossi,XXX (franchise),Special:Watchlist,Joel Kinnaman,Robert Wagner,Winchester Mystery House,Devin Nunes,Super Bowl LII,Cardi B,California Proposition 218 (1996),Elizabeth II,Ellen DeGeneres,Jenny Powell,Douglas Kenney,Gianni Versace,Pierre-Emerick Aubameyang,Tonya Harding,2018-02-03
Wiki trends,File:ITVBe logo 2014-.svg,Tom Brady,Super Bowl LII,Travis Scott,XHamster,List of Super Bowl champions,Kylie Jenner,Altered Carbon (TV series),Nick Foles,New England Patriots,UFC Fight Night: Machida vs. Anders,Alauddin Khalji,Super Bowl,Philadelphia Eagles,Padmaavat,Altered Carbon,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Special:CreateAccount,Natalie Portman,Natalie Wood,Dua Lipa,Tonya Harding,Super Bowl LI,Robert Wagner,Bill Belichick,Darth Vader,Uma Thurman,Larry Nassar,U.S. Bank Stadium,Randy Moss,Deaths in 2018,Simone Biles,Rani Padmini,Pink (singer),Justin Timberlake,Gisele Bündchen,Robert Kraft,Walter Payton,Super Bowl XXXIX,Black Panther (film),Doug Pederson,Joel Kinnaman,2018 Winter Olympics,Leslie Odom Jr.,Rob Gronkowski,Elizabeth II,2018-02-04
Wiki trends,Nick Foles,Justin Timberlake,Tom Brady,Philadelphia Eagles,The Cloverfield Paradox,List of Super Bowl champions,Travis Scott,Super Bowl LII,Rob Gronkowski,Doug Pederson,Kylie Jenner,Prince (musician),List of Super Bowl halftime shows,New England Patriots,Bradley Cooper,Jeffrey Lurie,Super Bowl,Gisele Bündchen,File:ITVBe logo 2014-.svg,Jessica Biel,XHamster,Super Bowl LI,Cloverfield,This Is Us (TV series),Cloverfield (franchise),Trinity (nuclear test),Carson Wentz,Zach Ertz,10 Cloverfield Lane,Bridget Moynahan,LeGarrette Blount,Bill Belichick,Robert Kraft,Altered Carbon (TV series),Jay Ajayi,Solo: A Star Wars Story,Kissing Case,Lindsey Vonn,Super Bowl XXXIX,Matt Patricia,Patrick Chung,Hershel W. Williams,Chris Long,Super Bowl XLIX,Julie Ertz,Shaun White,Deaths in 2018,Super Bowl XXXVIII halftime show controversy,Evan Moore,Padmaavat,2018-02-05
Wiki trends,John Mahoney,The Cloverfield Paradox,Elon Musk,Travis Scott,XHamster,Falcon Heavy,Nick Foles,Kylie Jenner,Miss Universe,Tom Brady,Altered Carbon (TV series),Kissing Case,Special:CreateAccount,Black Panther (film),Deaths in 2018,Cloverfield,List of Super Bowl champions,Munich air disaster,Grand Duchess Olga Alexandrovna of Russia,Justin Timberlake,Exo (band),Super Bowl LII,10 Cloverfield Lane,Berlin Wall,Darth Vader,Id Tech 3,This Is Us (TV series),Elimination Chamber (2018),Padmaavat,2018 Winter Olympics,Cloverfield (franchise),Altered Carbon,Dow Jones Industrial Average,Philadelphia Eagles,Rob Gronkowski,Special:Watchlist,Kelsey Grammer,Alauddin Khalji,Philosophes,SpaceX,Jane Leeves,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Giraffe,Maldives,XXX (franchise),Frasier,2018-02-06
Wiki trends,Elon Musk,Falcon Heavy,Travis Scott,XHamster,Kylie Jenner,The Cloverfield Paradox,Special:CreateAccount,SpaceX,Black Panther (film),List of most-liked Instagram pictures,Josh McDaniels,Altered Carbon (TV series),Talulah Riley,Deaths in 2018,Milo Ventimiglia,Darth Vader,Murder of James Bulger,BFR (rocket),2018 Winter Olympics,This Is Us (TV series),Elon Musk's Tesla Roadster,John Mahoney,Virat Kohli,Padmaavat,Special:Watchlist,Exo (band),Justine Musk,She's All That,Nick Foles,Id Tech 3,List of international cricket centuries by Virat Kohli,Rob Porter,Altered Carbon,Cloverfield,XXX (franchise),List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,File:ITVBe logo 2014-.svg,Tom Brady,Alauddin Khalji,Special:ElectronPdf,10 Cloverfield Lane,Bill Belichick,Dopamine receptor D5,Cardi B,Guadalcanal Campaign,Steve Wynn,2018-02-07
Wiki trends,Elon Musk,Paula Modersohn-Becker,Daniel Inouye,XHamster,Clarence Earl Gideon,Special:CreateAccount,Rob Porter,Murder of James Bulger,Andrew Cunanan,The Cloverfield Paradox,2018 Winter Olympics,Venom (2018 film),Marlon Brando,Black Panther (film),Falcon Heavy,Travis Scott,FOSDEM,Isaiah Thomas (basketball),Deaths in 2018,Darth Vader,Kylie Jenner,Hope Hicks,Quincy Jones,Altered Carbon (TV series),John Perry Barlow,Venom (comics),List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Special:Watchlist,Larry Nance Jr.,Padmaavat,Jordan Clarkson,SpaceX,Richard Pryor,Special:ElectronPdf,Milo Ventimiglia,Mickey Jones,Dwyane Wade,Nancy Pelosi,Light-gas gun,Virat Kohli,XXX (franchise),Altered Carbon,This Is Us (TV series),Fat Thursday,Jason Kelce,File:ITVBe logo 2014-.svg,2018-02-08
Wiki trends,2018 Winter Olympics,XHamster,Elon Musk,List of languages by total number of speakers,Black Panther (film),Rob Porter,Nathan Chen,Hope Hicks,Johnny Weir,The Cloverfield Paradox,Murder of James Bulger,Special:CreateAccount,Deaths in 2018,Andrew Cunanan,Winter Olympic Games,Tara Lipinski,Darth Vader,Venom (2018 film),Isaiah Thomas (basketball),Jimmy Garoppolo,HRT 2,Curling,Jason Kelce,Omarosa Manigault,Special:Watchlist,Altered Carbon (TV series),Pad Man (film),RuPaul's Drag Race All Stars (season 3),List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Dwyane Wade,Fifty Shades Freed (film),Olympic Athletes from Russia at the 2018 Winter Olympics,Padmaavat,Falcon Heavy,Patty Hearst,The 15:17 to Paris,Venom (comics),Travis Scott,Pyeongchang County,Kylie Jenner,Three Sisters (agriculture),Ebony Reigns,Reverser handle,File:ITVBe logo 2014-.svg,Special:WhatLinksHere,Saoirse Ronan,2018-02-09
Wiki trends,2018 Winter Olympics,XHamster,Liam Miller,Elon Musk,Maia (Middle-earth),Reg E. Cathey,Black Panther (film),Shaun White,List of Olympic Games host cities,Lindsey Vonn,Kevin Bacon,Winter Olympic Games,Katie Couric,Special:CreateAccount,The Cloverfield Paradox,Curling,Pad Man (film),List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Deaths in 2018,Darth Vader,File:ITVBe logo 2014-.svg,Helen Keller,Altered Carbon (TV series),Pyeongchang County,Fifty Shades Freed (film),2022 Winter Olympics,Andrew Cunanan,2026 Winter Olympics,Hope Hicks,UFC 221,Arunachalam Muruganantham,Padmaavat,John Gavin,2020 Summer Olympics,Apolo Ohno,Special:Watchlist,2024 Summer Olympics,Dwyane Wade,Biathlon,Mikaela Shiffrin,Undefined,Special:ElectronPdf,Rob Porter,The 15:17 to Paris,Rob Delaney,"Sri Lankan local elections, 2018",2018-02-10
Wiki trends,2018 Winter Olympics,UFC 221,XHamster,Elon Musk,The vulture and the little girl,Tara Calico,Steve McNair,Tara Lipinski,Johnny Weir,"Toy Biz, Inc. v. United States",Curling,Antonov An-148,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Black Panther (film),Tessa Virtue,Special:CreateAccount,Olympic Athletes from Russia at the 2018 Winter Olympics,The Cloverfield Paradox,Mark McMorris,Pad Man (film),Biathlon,"Mark ""Chopper"" Read",Alex Shibutani,Darth Vader,Evgenia Medvedeva,Deaths in 2018,Altered Carbon (TV series),File:ITVBe logo 2014-.svg,Asma Jahangir,Scott Hamilton (figure skater),Alexa Scimeca Knierim,Bradie Tennell,Shaun White,Winter Olympic Games,Yoel Romero,Red Gerard,Scott Moir,Clint Eastwood,Arunachalam Muruganantham,Andrew Cunanan,Patty Hearst,Tonya Harding,Fifty Shades Freed (film),Special:Watchlist,Blanche Monnier,Figure skating at the 2018 Winter Olympics – Team event,2018-02-11
Wiki trends,2018 Winter Olympics,XHamster,Adam Rippon,Johnny Weir,Mirai Nagasu,Tessa Virtue,Special:SpecialPages,Tara Lipinski,Elon Musk,Black Panther (film),Curling,Alex Shibutani,The Animals,Scott Moir,Priya Prakash Varrier,Patty Hearst,Gabrielle Daleman,Olympic Athletes from Russia at the 2018 Winter Olympics,BTS (band),List of United States stand-up comedians,List of stand-up comedians,List of British stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,Deaths in 2018,"Mark ""Chopper"" Read",Exo (band),Wataru Misaka,Maia Shibutani,Daryle Singletary,Special:CreateAccount,Tonya Harding,Darth Vader,Figure skating at the 2018 Winter Olympics – Team event,Patrick Chan,Vic Damone,Steve McNair,Shaun White,Pad Man (film),Winter Olympic Games,Altered Carbon (TV series),Valentine's Day,Saratov Airlines Flight 703,Special:Watchlist,Jiddu Krishnamurti,The Cloverfield Paradox,Biathlon,Jamie Anderson (snowboarder),Antonov An-148,OpenText,2018-02-12
